id,clause_v1,clause_v2,section,text_v1,text_v2,annotator_change_type,annotator_alignment_ok,annotator_notes
0,3.25,3.25,Section 9,The following paragraphs deal with means of escape from the entrance doors of flats to a final exit. They do not apply to flats with a top storey that is a maximum of 4.5m above ground level (designed in accordance with paragraphs 3.16 and 3.17). Reference should also be made to the following. a. Requirement B3 regarding compartment walls and protected shafts. b. Requirement B5 regarding access for the fire and rescue service. Number of escape routes,"The following paragraphs deal with means of escape from the entrance doors of flats to a final exit. They do not apply to flats with a top storey that is a maximum of 4.5m above ground level (designed in accordance with paragraphs 3.15 to 3.17). Reference should also be made to the following. a. Requirement B3 regarding compartment walls and protected shafts. b. Requirement B5 regarding access for the fire and rescue service. Effective until 29 September 2026 - see 2026 amendment, page 29 Number of escape routes",,,
1,17.4,17.4,Section 17 Fire safety information,"Details should be provided of all of the following. a. Specifications of fire safety equipment provided, including routine maintenance schedules. b. Any assumptions regarding the management of the building in the design of the fire safety arrangements. c. Any provision enabling the evacuation of disabled people, which can be used when designing personal emergency evacuation plans. 110 Approved Document B Volume 1, 2019 edition R38 Additional information for complex buildings","Information on the location of fire protection measures may be sufficient. An as-built plan of the building should be provided showing all of the following. a. Escape routes - this should include exit capacity (i.e. the maximum allowable number of people for each storey and for the building). b. Fire resisting construction and location of fire-separating elements (including cavity barriers in walk-in spaces). c. Fire doorsets, fire doorset fitted with a self-closing device and other doors relevant to the fire safety strategy, such as doors equipped with relevant hardware. d. Locations of fire detector heads (e.g. heat and smoke detectors), manual call points, fire alarm control and indicating equipment, fire alarm sounders, fire safety signage, emergency lighting, fire extinguishers, dry or wet fire mains and other firefighting equipment, and hydrants outside the building. e. Any sprinkler systems, including isolating valves and control equipment. f. Any smoke control systems, or ventilation systems with a smoke control function, including mode of operation and control systems. g. Any high risk areas (e.g. heating machinery). h. Any power supplies or power generating installations…",,,
2,Diagram 3.10,Diagram 3.10,Requirement B1 page 8,"Multi-storey flats 3.21 Rooflights of thermoplastic materials 4.14 Separation of adjoining 3.70 Thermoplastic lighting diffusers in ceilings 4.16 Use of space below diffusers or rooflights Table 4.2 Use of space within 3.78-3.80 Use of uninsulated glazed elements on escape Insurance 0.7 See also Places of special fire hazard Rolling shutters 15.12, Appendix C9 Roof coverings External fire spread 12.1-12.9 Separation distances for roofs 12.3-12.9, Tables 12.1-12.3 Junction of compartment wall with roof 5.11-5.15, routes Table B5 Ventilation ducts 9.7 Protective barriers 7.15-7.18, Diagram 5.2 Performance classification Table B2 Slates and tiles 5.22 Thatch 12.9 Wood shingles 12.9 Rooflights Flat roof forming escape route 3.30 Pumping appliances Fire service vehicle access Table 13.1 See also Fire service facilities Pumps Area measurement Diagram D3 Definition of ceilings 4.6 Fire resistance 4.7 Plastic 4.7, 4.14, 5.12, 12.5-12.7 Sprinkler systems Appendix E6 Purpose groups 0.14-0.17 Classification Table 0.1 Minimum periods of fire resistance by purpose Fire resistance Appendix B12 Layout restrictions Diagrams 4.2 to 4.3 Limitations on spacing and size Diagrams 12.1 group Table B4 P…","Multi-storey fats 3.21 Roofights of thermoplastic materials 4.14 Separation of adjoining 3.70 Thermoplastic lighting difusers in ceilings 4.16 Use of space below difusers or roofights Table 4.2 Use of space within 3.78-3.80 Use of uninsulated glazed elements on escape Excluded from elements of structure 6.2 Polycarbonate Roofights 12.7, Tables 12.1 to 12.3 TP(a) rigid and TP(b) sheet Appendix B12 Portal frames Fire resistance 11.15 Power supply routes Table B3 Ventilation ducts 9.7 Wayfnding signage 15.13-15.16 Protective barriers Escape lighting 3.43 Protected power circuits 3.46-3.48 Smoke and heat alarms 1.4 Progressive horizontal evacuation 3.101 Property protection 0.7 Protected circuits Flat roof forming escape route 3.30 Pumping appliances Fire service vehicle access Table 13.1 See also Fire service facilities Pumps Protected corridors/lobbies Access for fre service 15.8 Escape routes 3.27, 3.33-3.34, 3.37 Wayfnding signage 15.13-15.16 Protected entrance halls/landings 3.14 Air circulation systems 3.23 Multi-storey fats 3.21, Diagram 3.6 Single storey fats 3.18 Protected escape routes Sprinkler systems Appendix E6 Purpose groups 0.14-0.17 Classifcation Table 0.1 Minimum per…",,,
3,7.8,7.8,Section 7 Compartmentation/sprinklers - flats,"Adjoining buildings should only be separated by walls, not floors. Compartment walls common to two or more buildings should comply with both of the following. a. Run the full height of the building in a continuous vertical plane. b. Be continued through any roof space to the underside of the roof (see Diagram 5.2). Separated parts of buildings","Adjoining buildings should only be separated by walls, not floors. Compartment walls common to two or more buildings should comply with both of the following. a. Run the full height of the building in a continuous vertical plane. b. Be continued through any roof space to the underside of the roof (see Diagram 5.2). Separated parts of buildings",,,
4,,Table B1,"Appendix B Performance of materials,",,gives the specific requirements for each element of structure. b.,,,
5,Section 3,Section 3,"Section 3 , Diagram 3.11).",", Diagram 3.4. Fixed fanlights only Fixed fanlights only Dwellinghouses 2. Within either: from floor or pitch of the stair from floor or pitch of the stair a. the enclosures of a protected stairway b. fire resisting separation shown in",", Diagram 3.11). 30 min 30 min No provision(7) (8) From inside the building 6. Compartment walls Separating either: a. a flat from any other part of the building (see paragraph 7.1) 60 min or 60 min or 60 min or b. occupancies. 60 min or 60 min or 60 min or B 2029 amendment - effective from 2 September 2029",,,
6,8.6,8.6,Section 8 Cavities - flats,"In divided corridors (paragraph 3.25 and following) with cavities, fire-stopping should be provided to prevent alternative escape routes being affected by fire and/or smoke. B3 Double-skinned corrugated or profiled roof sheeting","In divided corridors (paragraph 3.25 and following) with cavities, fire-stopping should be provided to prevent alternative escape routes being affected by fire and/or smoke. B3 Double‐skinned corrugated or profiled roof sheeting",,,
7,Diagram 15.2,Diagram 15.2,Section 15 Access to buildings for firefighting,"). See paras 15.2, 15.8 and 15.9 a. Any building b. Firefighting shafts serving flats Fire main outlet Fire main outlet Common corridor Firefighting lobby Firefighting stairs Firefighting stairs 7.5m max. Firefighting lift in lift shaft Firefighting lift in lift shaft Minimum fire resistance REI 120 from accommodation side and REI 60 from inside the shaft with E 60 Sa fire doors Minimum fire resistance REI 60 from both sides with E 30 Sa fire doors 1. Outlets from a fire main should be located in the firefighting lobby or, in the case of a shaft serving flats, in the firefighting stairway (see Diagram b). 3. A firefighting lift is required if the building has a floor more than 18m above, or more than 10m below, fire service vehicle access level. 2. Smoke control should be provided in accordance with BS 9999 or, where the firefighting shaft only serves flats, the provisions for smoke control given in paragraph 3.49 may be followed instead. 4. This diagram is only to illustrate the basic components and is not meant to represent the only acceptable layout. The firefighting shaft should be constructed generally in accordance with section 6 of BS 9999. 5. For the minimum fire resistanc…","). See paras 15.2, 15.8 and 15.9 a. Any building b. Firefighting shafts serving flats Fire main outlet Fire main outlet Firefghting stairs Firefghting stairs Common corridor Firefghting lobby 7.5m max. Firefghting lift in lift shaft Firefghting lift in lift shaft Minimum fre resistance REI 120 from accommodation side and REI 60 from inside the shaft with E 60 S fre doors a Minimum fre resistance REI 60 from both sides with E 30 S fre doors a 1. Outlets from a fre main should be located in the frefghting 3. A frefghting lift is required if the building has a foor more lobby or, in the case of a shaft serving fats, in the frefghting than 18m above, or more than 10m below, fre service vehicle stairway (see Diagram b). access level. 2. Smoke control should be provided in accordance with BS 9999 4. This diagram is only to illustrate the basic components and is or, where the frefghting shaft only serves fats, the provisions not meant to represent the only acceptable layout. The for smoke control given in paragraph 3.49 may be followed frefghting shaft should be constructed generally in instead. accordance with section 6 of BS 9999. 5. For the minimum fre resistance of lift doors see Tab…",,,
8,3.20,3.20,Section 3 Means of escape - flats,"A multi-storey flat with an independent external entrance at ground level is similar to a dwellinghouse and means of escape should be planned on the basis of Section 2, depending on the height of the top storey above ground level.","A multi-storey flat with an independent external entrance at ground level is similar to a dwellinghouse and means of escape should be planned on the basis of Section 2, depending on the height of the top storey above ground level.",,,
9,Diagram 5.2,Diagram 5.2,Requirement B5 page 102,Double-skinned insulated roof sheeting Inclusive design 0.8 Industrial purpose group Table 0.1 Inner rooms,"Fire-stopping 5.11, 7.15-7.18, Diagram 5.2 K Inclusive design 0.8 Industrial purpose group Table 0.1 Inner rooms Means of escape through another room 2.11-2.12, 3.7-3.8 Installers Kitchens Extract ductwork 9.15 Heat alarms 3.21 Inner rooms 2.11-2.12, 3.7-3.8 Insulating core panels in 4.10 See also Cooking facilities L Certifcation and accreditation page iii Institutional premises See Residential (institutional) purpose group Insulating core panels Used internally 4.10 Insulation performance Appendix B18, Table B1 Fire doorsets Appendix C8 Floors in loft conversions 5.4 Glazing 3.88 Insulation (thermal) Ladders Means of escape 3.85 See also High reach appliances Landings See Protected entrance halls/landings Large dwellinghouses Cavity walls Diagram 5.3, Diagram 8.2 Efect on fre performance Appendix B2 External walls 10.6-10.7 Fire detection and alarm systems 1.5-1.7 Legislation Appendix G Lifts 3.99-3.105 Compartment walls 7.14 Fire doorsets Appendix C1, Table C1 Resistance to fre penetration Appendix B18, Lift doors Appendix C3 Machine rooms 3.105 Means of escape 2.7 See also Firefghting lifts Lighting",,,
