id,system_change_type,system_similarity,system_match_score,system_alignment_method,word_change_ratio
0,Minor Edit,0.9709,,identifier,0.1509
1,Significant Change,0.6925,,identifier,0.8904
2,Minor Edit,0.8429,,identifier,0.7373
3,Unchanged,1.0,,identifier,0.0
4,Added,,,identifier,1.0
5,Significant Change,0.2814,,identifier,0.875
6,Unchanged,0.9988,,identifier,0.0455
7,Minor Edit,0.8949,,identifier,0.4345
8,Unchanged,1.0,,identifier,0.0
9,Significant Change,0.5942,,identifier,0.9419
10,Minor Edit,0.9519,,identifier,0.3913
11,Removed,,,identifier,1.0
12,Significant Change,0.2996,,identifier,0.9886
13,Significant Change,0.5861,,identifier,0.8707
14,Significant Change,0.5059,,identifier,0.9375
15,Minor Edit,0.8568,,identifier,0.2857
16,Unchanged,1.0,,identifier,0.0
17,Minor Edit,0.9486,,identifier,0.2856
18,Significant Change,0.4489,,identifier,0.9606
19,Added,,,identifier,1.0
20,Removed,,,identifier,1.0
21,Removed,,,identifier,1.0
22,Unchanged,1.0,,identifier,0.0
23,Added,,,identifier,1.0
24,Removed,,,identifier,1.0
25,Minor Edit,0.9773,,identifier,0.1538
26,Significant Change,0.7746,,identifier,0.7651
27,Minor Edit,0.9988,,identifier,0.0979
28,Added,,,identifier,1.0
29,Significant Change,0.3784,,identifier,0.9838
30,Unchanged,0.993,,identifier,0.0178
31,Removed,,,identifier,1.0
32,Removed,,,identifier,1.0
33,Minor Edit,0.9972,,identifier,0.1
34,Significant Change,0.4536,,identifier,0.9451
35,Significant Change,0.6797,,identifier,0.935
36,Significant Change,0.7821,,identifier,0.927
37,Significant Change,0.7713,,identifier,0.9574
38,Significant Change,0.3346,,identifier,0.9721
39,Added,,,identifier,1.0
40,Unchanged,1.0,,identifier,0.0
41,Significant Change,0.7895,,identifier,0.3804
42,Added,,,identifier,1.0
43,Added,,,identifier,1.0
44,Removed,,,identifier,1.0
45,Unchanged,1.0,,identifier,0.0
46,Unchanged,1.0,,identifier,0.0
47,Removed,,,identifier,1.0
48,Added,,,identifier,1.0
